Undergraduate_Major,Starting_Median_Salary,Mid-Career_Median_Salary,Mid-Career_10th_Percentile_Salary,Mid-Career_90th_Percentile_Salary,Group
Accounting,46000.0,77100.0,42200.0,152000.0,Business
Aerospace Engineering,57700.0,101000.0,64300.0,161000.0,STEM
Agriculture,42600.0,71900.0,36300.0,150000.0,Business
Anthropology,36800.0,61500.0,33800.0,138000.0,HASS
Architecture,41600.0,76800.0,50600.0,136000.0,Business
Art History,35800.0,64900.0,28800.0,125000.0,HASS
Biology,38800.0,64800.0,36900.0,135000.0,STEM
Business Management,43000.0,72100.0,38800.0,147000.0,Business
Chemical Engineering,63200.0,107000.0,71900.0,194000.0,STEM
Chemistry,42600.0,79900.0,45300.0,148000.0,STEM
Civil Engineering,53900.0,90500.0,63400.0,148000.0,STEM
Communications,38100.0,70000.0,37500.0,143000.0,HASS
Computer Engineering,61400.0,105000.0,66100.0,162000.0,STEM
Computer Science,55900.0,95500.0,56000.0,154000.0,STEM
Construction,53700.0,88900.0,56300.0,171000.0,Business
Criminal Justice,35000.0,56300.0,32200.0,107000.0,HASS
Drama,35900.0,56900.0,36700.0,153000.0,HASS
Economics,50100.0,98600.0,50600.0,210000.0,Business
Education,34900.0,52000.0,29300.0,102000.0,HASS
Electrical Engineering,60900.0,103000.0,69300.0,168000.0,STEM
English,38000.0,64700.0,33400.0,133000.0,HASS
Film,37900.0,68500.0,33900.0,136000.0,HASS
Finance,47900.0,88300.0,47200.0,195000.0,Business
Forestry,39100.0,62600.0,41000.0,111000.0,Business
Geography,41200.0,65500.0,40000.0,132000.0,HASS
Geology,43500.0,79500.0,45000.0,156000.0,STEM
Graphic Design,35700.0,59800.0,36000.0,112000.0,HASS
Health Care Administration,38800.0,60600.0,34600.0,101000.0,Business
History,39200.0,71000.0,37000.0,149000.0,HASS
Hospitality & Tourism,37800.0,57500.0,35500.0,124000.0,Business
Industrial Engineering,57700.0,94700.0,57100.0,173000.0,STEM
Information Technology (IT),49100.0,74800.0,44500.0,129000.0,STEM
Interior Design,36100.0,53200.0,35700.0,107000.0,HASS
International Relations,40900.0,80900.0,38200.0,157000.0,HASS
Journalism,35600.0,66700.0,38400.0,145000.0,HASS
Management Information Systems (MIS),49200.0,82300.0,45300.0,146000.0,STEM
Marketing,40800.0,79600.0,42100.0,175000.0,Business
Math,45400.0,92400.0,45200.0,183000.0,STEM
Mechanical Engineering,57900.0,93600.0,63700.0,163000.0,STEM
Music,35900.0,55000.0,26700.0,134000.0,HASS
Nursing,54200.0,67000.0,47600.0,98300.0,Business
Nutrition,39900.0,55300.0,33900.0,99200.0,HASS
Philosophy,39900.0,81200.0,35500.0,168000.0,HASS
Physician Assistant,74300.0,91700.0,66400.0,124000.0,STEM
Physics,50300.0,97300.0,56000.0,178000.0,STEM
Political Science,40800.0,78200.0,41200.0,168000.0,HASS
Psychology,35900.0,60400.0,31600.0,127000.0,HASS
Religion,34100.0,52000.0,29700.0,96400.0,HASS
Sociology,36500.0,58200.0,30700.0,118000.0,HASS
Spanish,34000.0,53100.0,31000.0,96400.0,HASS
Source: PayScale Inc.,,,,,
